project_id,project_title,project_description,data_type,data_quality,scientific_name,taxonomic_rank,ncbi_tax_id,disease_name,mesh_id,phenotype_a,phenotype_a_mesh_id,phenotype_b,phenotype_b_mesh_id,negative_enriched_in,positive_enriched_in,effect_type,lda_score,p_value,q_value,association_url,citation,notes,direction,source_database
PMID33208745,Disease-associated gut microbiome and metabolome changes in patients with chronic obstructive pulmonary disease,"Case-control study of faecal (stool) samples from 28 stable COPD patients and 29 healthy controls in Newcastle, Australia, profiled by 16S rRNA gene sequencing and shotgun metagenomics (MAG-based).",16S rRNA,qualified,Streptococcus,genus,,"Pulmonary Disease, Chronic Obstructive",D029424,Health,D006262,"Pulmonary Disease, Chronic Obstructive",D029424,,,reported,,,,https://doi.org/10.1038/s41467-020-19701-0,"Bowerman et al. 2020, Nature Communications, PMID 33208745","Stable COPD (GOLD criteria), faecal samples. Direction from 16S sPLS-DA multivariate discriminant analysis listing genera increased/decreased in COPD; no per-taxon effect size or p-value stated in text, so none recorded. Controls not explicitly smoking-matched; covariate model elsewhere in the paper adjusted for age, sex and BMI only.",enriched,PubMed
PMID33208745,Disease-associated gut microbiome and metabolome changes in patients with chronic obstructive pulmonary disease,"Case-control study of faecal (stool) samples from 28 stable COPD patients and 29 healthy controls in Newcastle, Australia, profiled by 16S rRNA gene sequencing and shotgun metagenomics (MAG-based).",16S rRNA,qualified,Rothia,genus,,"Pulmonary Disease, Chronic Obstructive",D029424,Health,D006262,"Pulmonary Disease, Chronic Obstructive",D029424,,,reported,,,,https://doi.org/10.1038/s41467-020-19701-0,"Bowerman et al. 2020, Nature Communications, PMID 33208745","Stable COPD (GOLD criteria), faecal samples. Direction from 16S sPLS-DA multivariate discriminant analysis listing genera increased/decreased in COPD; no per-taxon effect size or p-value stated in text, so none recorded. Controls not explicitly smoking-matched; covariate model elsewhere in the paper adjusted for age, sex and BMI only. Described as a common oral bacterium also occurring in the gut.",enriched,PubMed
PMID33208745,Disease-associated gut microbiome and metabolome changes in patients with chronic obstructive pulmonary disease,"Case-control study of faecal (stool) samples from 28 stable COPD patients and 29 healthy controls in Newcastle, Australia, profiled by 16S rRNA gene sequencing and shotgun metagenomics (MAG-based).",16S rRNA,qualified,Romboutsia,genus,,"Pulmonary Disease, Chronic Obstructive",D029424,Health,D006262,"Pulmonary Disease, Chronic Obstructive",D029424,,,reported,,,,https://doi.org/10.1038/s41467-020-19701-0,"Bowerman et al. 2020, Nature Communications, PMID 33208745","Stable COPD (GOLD criteria), faecal samples. Direction from 16S sPLS-DA multivariate discriminant analysis listing genera increased/decreased in COPD; no per-taxon effect size or p-value stated in text, so none recorded. Controls not explicitly smoking-matched; covariate model elsewhere in the paper adjusted for age, sex and BMI only. Reported as a member of family Peptostreptococcaceae.",enriched,PubMed
PMID33208745,Disease-associated gut microbiome and metabolome changes in patients with chronic obstructive pulmonary disease,"Case-control study of faecal (stool) samples from 28 stable COPD patients and 29 healthy controls in Newcastle, Australia, profiled by 16S rRNA gene sequencing and shotgun metagenomics (MAG-based).",16S rRNA,qualified,Intestinibacter,genus,,"Pulmonary Disease, Chronic Obstructive",D029424,Health,D006262,"Pulmonary Disease, Chronic Obstructive",D029424,,,reported,,,,https://doi.org/10.1038/s41467-020-19701-0,"Bowerman et al. 2020, Nature Communications, PMID 33208745","Stable COPD (GOLD criteria), faecal samples. Direction from 16S sPLS-DA multivariate discriminant analysis listing genera increased/decreased in COPD; no per-taxon effect size or p-value stated in text, so none recorded. Controls not explicitly smoking-matched; covariate model elsewhere in the paper adjusted for age, sex and BMI only. Reported as a member of family Peptostreptococcaceae.",enriched,PubMed
PMID33208745,Disease-associated gut microbiome and metabolome changes in patients with chronic obstructive pulmonary disease,"Case-control study of faecal (stool) samples from 28 stable COPD patients and 29 healthy controls in Newcastle, Australia, profiled by 16S rRNA gene sequencing and shotgun metagenomics (MAG-based).",16S rRNA,qualified,Escherichia,genus,,"Pulmonary Disease, Chronic Obstructive",D029424,Health,D006262,"Pulmonary Disease, Chronic Obstructive",D029424,,,reported,,,,https://doi.org/10.1038/s41467-020-19701-0,"Bowerman et al. 2020, Nature Communications, PMID 33208745","Stable COPD (GOLD criteria), faecal samples. Direction from 16S sPLS-DA multivariate discriminant analysis listing genera increased/decreased in COPD; no per-taxon effect size or p-value stated in text, so none recorded. Controls not explicitly smoking-matched; covariate model elsewhere in the paper adjusted for age, sex and BMI only.",enriched,PubMed
PMID33208745,Disease-associated gut microbiome and metabolome changes in patients with chronic obstructive pulmonary disease,"Case-control study of faecal (stool) samples from 28 stable COPD patients and 29 healthy controls in Newcastle, Australia, profiled by 16S rRNA gene sequencing and shotgun metagenomics (MAG-based).",16S rRNA,qualified,Bacteroides,genus,,"Pulmonary Disease, Chronic Obstructive",D029424,Health,D006262,"Pulmonary Disease, Chronic Obstructive",D029424,,,reported,,,,https://doi.org/10.1038/s41467-020-19701-0,"Bowerman et al. 2020, Nature Communications, PMID 33208745","Stable COPD (GOLD criteria), faecal samples. Direction from 16S sPLS-DA multivariate discriminant analysis listing genera increased/decreased in COPD; no per-taxon effect size or p-value stated in text, so none recorded. Controls not explicitly smoking-matched; covariate model elsewhere in the paper adjusted for age, sex and BMI only.",depleted,PubMed
PMID33208745,Disease-associated gut microbiome and metabolome changes in patients with chronic obstructive pulmonary disease,"Case-control study of faecal (stool) samples from 28 stable COPD patients and 29 healthy controls in Newcastle, Australia, profiled by 16S rRNA gene sequencing and shotgun metagenomics (MAG-based).",16S rRNA,qualified,Roseburia,genus,,"Pulmonary Disease, Chronic Obstructive",D029424,Health,D006262,"Pulmonary Disease, Chronic Obstructive",D029424,,,reported,,,,https://doi.org/10.1038/s41467-020-19701-0,"Bowerman et al. 2020, Nature Communications, PMID 33208745","Stable COPD (GOLD criteria), faecal samples. Direction from 16S sPLS-DA multivariate discriminant analysis listing genera increased/decreased in COPD; no per-taxon effect size or p-value stated in text, so none recorded. Controls not explicitly smoking-matched; covariate model elsewhere in the paper adjusted for age, sex and BMI only. Reported as a member of family Lachnospiraceae.",depleted,PubMed
PMID33208745,Disease-associated gut microbiome and metabolome changes in patients with chronic obstructive pulmonary disease,"Case-control study of faecal (stool) samples from 28 stable COPD patients and 29 healthy controls in Newcastle, Australia, profiled by 16S rRNA gene sequencing and shotgun metagenomics (MAG-based).",16S rRNA,qualified,Lachnospira,genus,,"Pulmonary Disease, Chronic Obstructive",D029424,Health,D006262,"Pulmonary Disease, Chronic Obstructive",D029424,,,reported,,,,https://doi.org/10.1038/s41467-020-19701-0,"Bowerman et al. 2020, Nature Communications, PMID 33208745","Stable COPD (GOLD criteria), faecal samples. Direction from 16S sPLS-DA multivariate discriminant analysis listing genera increased/decreased in COPD; no per-taxon effect size or p-value stated in text, so none recorded. Controls not explicitly smoking-matched; covariate model elsewhere in the paper adjusted for age, sex and BMI only. Reported as a member of family Lachnospiraceae.",depleted,PubMed
PMID33208745,Disease-associated gut microbiome and metabolome changes in patients with chronic obstructive pulmonary disease,"Case-control study of faecal (stool) samples from 28 stable COPD patients and 29 healthy controls in Newcastle, Australia, profiled by 16S rRNA gene sequencing and shotgun metagenomics (MAG-based).",shotgun metagenomics,qualified,Romboutsia timonensis,species,,"Pulmonary Disease, Chronic Obstructive",D029424,Health,D006262,"Pulmonary Disease, Chronic Obstructive",D029424,,,reported,,,,https://doi.org/10.1038/s41467-020-19701-0,"Bowerman et al. 2020, Nature Communications, PMID 33208745","Stable COPD (GOLD criteria), faecal samples, shotgun metagenomics. DESeq2 differential abundance with Benjamini-Hochberg correction; text reports substantially higher/lower prevalence between groups but no per-taxon numeric effect size, so lda_score/p_value/q_value left blank. Reported as present at substantially higher prevalence in COPD patients.",enriched,PubMed
PMID33208745,Disease-associated gut microbiome and metabolome changes in patients with chronic obstructive pulmonary disease,"Case-control study of faecal (stool) samples from 28 stable COPD patients and 29 healthy controls in Newcastle, Australia, profiled by 16S rRNA gene sequencing and shotgun metagenomics (MAG-based).",shotgun metagenomics,qualified,Intestinibacter bartlettii,species,,"Pulmonary Disease, Chronic Obstructive",D029424,Health,D006262,"Pulmonary Disease, Chronic Obstructive",D029424,,,reported,,,,https://doi.org/10.1038/s41467-020-19701-0,"Bowerman et al. 2020, Nature Communications, PMID 33208745","Stable COPD (GOLD criteria), faecal samples, shotgun metagenomics. DESeq2 differential abundance with Benjamini-Hochberg correction; text reports substantially higher/lower prevalence between groups but no per-taxon numeric effect size, so lda_score/p_value/q_value left blank. Reported as present at substantially higher prevalence in COPD patients.",enriched,PubMed
PMID33208745,Disease-associated gut microbiome and metabolome changes in patients with chronic obstructive pulmonary disease,"Case-control study of faecal (stool) samples from 28 stable COPD patients and 29 healthy controls in Newcastle, Australia, profiled by 16S rRNA gene sequencing and shotgun metagenomics (MAG-based).",shotgun metagenomics,qualified,Coprobacter fastidiosus,species,,"Pulmonary Disease, Chronic Obstructive",D029424,Health,D006262,"Pulmonary Disease, Chronic Obstructive",D029424,,,reported,,,,https://doi.org/10.1038/s41467-020-19701-0,"Bowerman et al. 2020, Nature Communications, PMID 33208745","Stable COPD (GOLD criteria), faecal samples, shotgun metagenomics. DESeq2 differential abundance with Benjamini-Hochberg correction; text reports substantially higher/lower prevalence between groups but no per-taxon numeric effect size, so lda_score/p_value/q_value left blank. Reported as more prevalent in healthy controls.",depleted,PubMed
PMID33208745,Disease-associated gut microbiome and metabolome changes in patients with chronic obstructive pulmonary disease,"Case-control study of faecal (stool) samples from 28 stable COPD patients and 29 healthy controls in Newcastle, Australia, profiled by 16S rRNA gene sequencing and shotgun metagenomics (MAG-based).",shotgun metagenomics,qualified,Coprobacter secundus,species,,"Pulmonary Disease, Chronic Obstructive",D029424,Health,D006262,"Pulmonary Disease, Chronic Obstructive",D029424,,,reported,,,,https://doi.org/10.1038/s41467-020-19701-0,"Bowerman et al. 2020, Nature Communications, PMID 33208745","Stable COPD (GOLD criteria), faecal samples, shotgun metagenomics. DESeq2 differential abundance with Benjamini-Hochberg correction; text reports substantially higher/lower prevalence between groups but no per-taxon numeric effect size, so lda_score/p_value/q_value left blank. Reported as more prevalent in healthy controls.",depleted,PubMed
PMID33208745,Disease-associated gut microbiome and metabolome changes in patients with chronic obstructive pulmonary disease,"Case-control study of faecal (stool) samples from 28 stable COPD patients and 29 healthy controls in Newcastle, Australia, profiled by 16S rRNA gene sequencing and shotgun metagenomics (MAG-based).",shotgun metagenomics,qualified,Streptococcus vestibularis,species,,"Pulmonary Disease, Chronic Obstructive",D029424,Health,D006262,"Pulmonary Disease, Chronic Obstructive",D029424,,,reported,,,,https://doi.org/10.1038/s41467-020-19701-0,"Bowerman et al. 2020, Nature Communications, PMID 33208745","Stable COPD (GOLD criteria), faecal samples, shotgun metagenomics. DESeq2 differential abundance with Benjamini-Hochberg correction; text reports substantially higher/lower prevalence between groups but no per-taxon numeric effect size, so lda_score/p_value/q_value left blank. Remained significantly enriched in COPD in the DESeq2 model additionally adjusted for age, BMI and sex.",enriched,PubMed
PMID33208745,Disease-associated gut microbiome and metabolome changes in patients with chronic obstructive pulmonary disease,"Case-control study of faecal (stool) samples from 28 stable COPD patients and 29 healthy controls in Newcastle, Australia, profiled by 16S rRNA gene sequencing and shotgun metagenomics (MAG-based).",shotgun metagenomics,qualified,Streptococcus salivarius,species,,"Pulmonary Disease, Chronic Obstructive",D029424,Health,D006262,"Pulmonary Disease, Chronic Obstructive",D029424,,,reported,,,,https://doi.org/10.1038/s41467-020-19701-0,"Bowerman et al. 2020, Nature Communications, PMID 33208745","Stable COPD (GOLD criteria), faecal samples, shotgun metagenomics. DESeq2 differential abundance with Benjamini-Hochberg correction; text reports substantially higher/lower prevalence between groups but no per-taxon numeric effect size, so lda_score/p_value/q_value left blank. Enrichment in COPD confirmed by mixOmics sPLS-DA and restated in the Discussion.",enriched,PubMed
