project_id,project_title,project_description,data_type,data_quality,scientific_name,taxonomic_rank,ncbi_tax_id,disease_name,mesh_id,phenotype_a,phenotype_a_mesh_id,phenotype_b,phenotype_b_mesh_id,negative_enriched_in,positive_enriched_in,effect_type,lda_score,p_value,q_value,association_url,citation,notes,direction,source_database
PMID31900289,Gut dysbiosis induces the development of pre-eclampsia through bacterial translocation.,Human case-control comparison of the faecal microbiome of pre-eclampsia patients versus normotensive pregnant women by 16S rRNA gene sequencing (cohort size not stated in the abstract; full text not available in PMC).,16S rRNA,qualified,Fusobacterium,genus,,Pre-Eclampsia,D011225,Health,D006262,Pre-Eclampsia,D011225,,,reported,,,,https://doi.org/10.1136/gutjnl-2019-319101,"Chen et al. 2020, Gut, PMID 31900289","Direction taken verbatim from the abstract Results: 'Opportunistic pathogens, particularly Fusobacterium and Veillonella, were enriched, whereas beneficial bacteria, including Faecalibacterium and Akkermansia, were markedly depleted in the PE group.' Genus names were stripped by the full-text tool's italics handling and were recovered independently from the NCBI eutils plain-text abstract and the Europe PMC REST record, which agree; the enriched/depleted genera are also corroborated by the record's MeSH terms (Faecalibacterium, Fusobacteria, Veillonella). Comparator = normotensive pregnant women. No PMC full text, so cohort size, LDA scores and FDR correction status could not be verified; no per-taxon statistic reported in the abstract.",enriched,PubMed
PMID31900289,Gut dysbiosis induces the development of pre-eclampsia through bacterial translocation.,Human case-control comparison of the faecal microbiome of pre-eclampsia patients versus normotensive pregnant women by 16S rRNA gene sequencing (cohort size not stated in the abstract; full text not available in PMC).,16S rRNA,qualified,Veillonella,genus,,Pre-Eclampsia,D011225,Health,D006262,Pre-Eclampsia,D011225,,,reported,,,,https://doi.org/10.1136/gutjnl-2019-319101,"Chen et al. 2020, Gut, PMID 31900289","Direction taken verbatim from the abstract Results: 'Opportunistic pathogens, particularly Fusobacterium and Veillonella, were enriched, whereas beneficial bacteria, including Faecalibacterium and Akkermansia, were markedly depleted in the PE group.' Genus names were stripped by the full-text tool's italics handling and were recovered independently from the NCBI eutils plain-text abstract and the Europe PMC REST record, which agree; the enriched/depleted genera are also corroborated by the record's MeSH terms (Faecalibacterium, Fusobacteria, Veillonella). Comparator = normotensive pregnant women. No PMC full text, so cohort size, LDA scores and FDR correction status could not be verified; no per-taxon statistic reported in the abstract.",enriched,PubMed
PMID31900289,Gut dysbiosis induces the development of pre-eclampsia through bacterial translocation.,Human case-control comparison of the faecal microbiome of pre-eclampsia patients versus normotensive pregnant women by 16S rRNA gene sequencing (cohort size not stated in the abstract; full text not available in PMC).,16S rRNA,qualified,Faecalibacterium,genus,,Pre-Eclampsia,D011225,Health,D006262,Pre-Eclampsia,D011225,,,reported,,,,https://doi.org/10.1136/gutjnl-2019-319101,"Chen et al. 2020, Gut, PMID 31900289","Direction taken verbatim from the abstract Results: 'Opportunistic pathogens, particularly Fusobacterium and Veillonella, were enriched, whereas beneficial bacteria, including Faecalibacterium and Akkermansia, were markedly depleted in the PE group.' Genus names were stripped by the full-text tool's italics handling and were recovered independently from the NCBI eutils plain-text abstract and the Europe PMC REST record, which agree; the enriched/depleted genera are also corroborated by the record's MeSH terms (Faecalibacterium, Fusobacteria, Veillonella). Comparator = normotensive pregnant women. No PMC full text, so cohort size, LDA scores and FDR correction status could not be verified; no per-taxon statistic reported in the abstract.",depleted,PubMed
PMID31900289,Gut dysbiosis induces the development of pre-eclampsia through bacterial translocation.,Human case-control comparison of the faecal microbiome of pre-eclampsia patients versus normotensive pregnant women by 16S rRNA gene sequencing (cohort size not stated in the abstract; full text not available in PMC).,16S rRNA,qualified,Akkermansia,genus,,Pre-Eclampsia,D011225,Health,D006262,Pre-Eclampsia,D011225,,,reported,,,,https://doi.org/10.1136/gutjnl-2019-319101,"Chen et al. 2020, Gut, PMID 31900289","Direction taken verbatim from the abstract Results: 'Opportunistic pathogens, particularly Fusobacterium and Veillonella, were enriched, whereas beneficial bacteria, including Faecalibacterium and Akkermansia, were markedly depleted in the PE group.' Genus names were stripped by the full-text tool's italics handling and were recovered independently from the NCBI eutils plain-text abstract and the Europe PMC REST record, which agree; the enriched/depleted genera are also corroborated by the record's MeSH terms (Faecalibacterium, Fusobacteria, Veillonella). Comparator = normotensive pregnant women. No PMC full text, so cohort size, LDA scores and FDR correction status could not be verified; no per-taxon statistic reported in the abstract.",depleted,PubMed
PMID31850241,Gut Microbiota Dysbiosis and Increased Plasma LPS and TMAO Levels in Patients With Preeclampsia,"Human case-control study of 48 pre-eclampsia patients versus 48 age-, gestational week- and pre-pregnancy BMI-matched healthy pregnant controls, faecal samples profiled by 16S rRNA gene sequencing (V4 region) with LEfSe.",16S rRNA,qualified,Faecalibacterium,genus,,Pre-Eclampsia,D011225,Health,D006262,Pre-Eclampsia,D011225,,,LEfSe,,,,https://doi.org/10.3389/fcimb.2019.00409,"Wang et al. 2019, Frontiers in Cellular and Infection Microbiology, PMID 31850241","Direction from the verbatim LEfSe results sentence listing taxa 'lower in the PE group' vs 'higher in the PE group'. Only taxa reported with a log LDA score >3.5 were considered by the authors; individual LDA scores appear only in the figure, not in the text, so no numeric value is recorded here. No FDR/q-value correction reported. NOTE: the paper labels every listed taxon as a 'genus', but several are in fact phylum/class/order/family ranks; those were excluded and only true genus- and species-level taxa retained. Controls were healthy pregnant women; mean onset gestational age 31.1 weeks in the PE group. Authors state pre-pregnancy BMI adjustment did not change the differentially abundant taxa.",depleted,PubMed
PMID31850241,Gut Microbiota Dysbiosis and Increased Plasma LPS and TMAO Levels in Patients With Preeclampsia,"Human case-control study of 48 pre-eclampsia patients versus 48 age-, gestational week- and pre-pregnancy BMI-matched healthy pregnant controls, faecal samples profiled by 16S rRNA gene sequencing (V4 region) with LEfSe.",16S rRNA,qualified,Alistipes,genus,,Pre-Eclampsia,D011225,Health,D006262,Pre-Eclampsia,D011225,,,LEfSe,,,,https://doi.org/10.3389/fcimb.2019.00409,"Wang et al. 2019, Frontiers in Cellular and Infection Microbiology, PMID 31850241","Direction from the verbatim LEfSe results sentence listing taxa 'lower in the PE group' vs 'higher in the PE group'. Only taxa reported with a log LDA score >3.5 were considered by the authors; individual LDA scores appear only in the figure, not in the text, so no numeric value is recorded here. No FDR/q-value correction reported. NOTE: the paper labels every listed taxon as a 'genus', but several are in fact phylum/class/order/family ranks; those were excluded and only true genus- and species-level taxa retained. Controls were healthy pregnant women; mean onset gestational age 31.1 weeks in the PE group. Authors state pre-pregnancy BMI adjustment did not change the differentially abundant taxa.",depleted,PubMed
PMID31850241,Gut Microbiota Dysbiosis and Increased Plasma LPS and TMAO Levels in Patients With Preeclampsia,"Human case-control study of 48 pre-eclampsia patients versus 48 age-, gestational week- and pre-pregnancy BMI-matched healthy pregnant controls, faecal samples profiled by 16S rRNA gene sequencing (V4 region) with LEfSe.",16S rRNA,qualified,Bacteroides stercoris,species,,Pre-Eclampsia,D011225,Health,D006262,Pre-Eclampsia,D011225,,,LEfSe,,,,https://doi.org/10.3389/fcimb.2019.00409,"Wang et al. 2019, Frontiers in Cellular and Infection Microbiology, PMID 31850241","Direction from the verbatim LEfSe results sentence listing taxa 'lower in the PE group' vs 'higher in the PE group'. Only taxa reported with a log LDA score >3.5 were considered by the authors; individual LDA scores appear only in the figure, not in the text, so no numeric value is recorded here. No FDR/q-value correction reported. NOTE: the paper labels every listed taxon as a 'genus', but several are in fact phylum/class/order/family ranks; those were excluded and only true genus- and species-level taxa retained. Controls were healthy pregnant women; mean onset gestational age 31.1 weeks in the PE group. Authors state pre-pregnancy BMI adjustment did not change the differentially abundant taxa.",depleted,PubMed
PMID31850241,Gut Microbiota Dysbiosis and Increased Plasma LPS and TMAO Levels in Patients With Preeclampsia,"Human case-control study of 48 pre-eclampsia patients versus 48 age-, gestational week- and pre-pregnancy BMI-matched healthy pregnant controls, faecal samples profiled by 16S rRNA gene sequencing (V4 region) with LEfSe.",16S rRNA,qualified,Bacteroides coprocola,species,,Pre-Eclampsia,D011225,Health,D006262,Pre-Eclampsia,D011225,,,LEfSe,,,,https://doi.org/10.3389/fcimb.2019.00409,"Wang et al. 2019, Frontiers in Cellular and Infection Microbiology, PMID 31850241","Direction from the verbatim LEfSe results sentence listing taxa 'lower in the PE group' vs 'higher in the PE group'. Only taxa reported with a log LDA score >3.5 were considered by the authors; individual LDA scores appear only in the figure, not in the text, so no numeric value is recorded here. No FDR/q-value correction reported. NOTE: the paper labels every listed taxon as a 'genus', but several are in fact phylum/class/order/family ranks; those were excluded and only true genus- and species-level taxa retained. Controls were healthy pregnant women; mean onset gestational age 31.1 weeks in the PE group. Authors state pre-pregnancy BMI adjustment did not change the differentially abundant taxa.",enriched,PubMed
PMID31850241,Gut Microbiota Dysbiosis and Increased Plasma LPS and TMAO Levels in Patients With Preeclampsia,"Human case-control study of 48 pre-eclampsia patients versus 48 age-, gestational week- and pre-pregnancy BMI-matched healthy pregnant controls, faecal samples profiled by 16S rRNA gene sequencing (V4 region) with LEfSe.",16S rRNA,qualified,Bacteroides fragilis,species,,Pre-Eclampsia,D011225,Health,D006262,Pre-Eclampsia,D011225,,,LEfSe,,,,https://doi.org/10.3389/fcimb.2019.00409,"Wang et al. 2019, Frontiers in Cellular and Infection Microbiology, PMID 31850241","Direction from the verbatim LEfSe results sentence listing taxa 'lower in the PE group' vs 'higher in the PE group'. Only taxa reported with a log LDA score >3.5 were considered by the authors; individual LDA scores appear only in the figure, not in the text, so no numeric value is recorded here. No FDR/q-value correction reported. NOTE: the paper labels every listed taxon as a 'genus', but several are in fact phylum/class/order/family ranks; those were excluded and only true genus- and species-level taxa retained. Controls were healthy pregnant women; mean onset gestational age 31.1 weeks in the PE group. Authors state pre-pregnancy BMI adjustment did not change the differentially abundant taxa.",enriched,PubMed
PMID36683689,The effect of gut microbiota dysbiosis on patients with preeclampsia,"Retrospective human case-control study of 41 pre-eclampsia patients versus 45 age- and pre-pregnancy BMI-matched healthy pregnant controls, faecal samples profiled by 16S rRNA gene sequencing (V3-V4 region) with LEfSe.",16S rRNA,qualified,Bacteroides,genus,,Pre-Eclampsia,D011225,Health,D006262,Pre-Eclampsia,D011225,,,LEfSe,,,,https://doi.org/10.3389/fcimb.2022.1022857,"Zhao et al. 2023, Frontiers in Cellular and Infection Microbiology, PMID 36683689","Direction from the verbatim LEfSe results sentence naming taxa 'lower in the PE group than those in the normal group' vs 'higher in the PE group than those in the normal healthy group'. 24 differentially abundant taxa at log LDA score >3.5; individual LDA scores appear only in the figure, not in the text, so no numeric value is recorded here. No FDR/q-value correction reported. Only genus-level taxa retained from the 24; phylum/class/order/family findings excluded. Controls were healthy normotensive pregnant women, matched on age and pre-pregnancy BMI. Sampling spanned 20-41 weeks of gestation. CAVEAT: genus Bacteroides is reported depleted here, which conflicts with the species-level Bacteroides findings in PMID 31850241.",depleted,PubMed
PMID36683689,The effect of gut microbiota dysbiosis on patients with preeclampsia,"Retrospective human case-control study of 41 pre-eclampsia patients versus 45 age- and pre-pregnancy BMI-matched healthy pregnant controls, faecal samples profiled by 16S rRNA gene sequencing (V3-V4 region) with LEfSe.",16S rRNA,qualified,Ruminococcus,genus,,Pre-Eclampsia,D011225,Health,D006262,Pre-Eclampsia,D011225,,,LEfSe,,,,https://doi.org/10.3389/fcimb.2022.1022857,"Zhao et al. 2023, Frontiers in Cellular and Infection Microbiology, PMID 36683689","Direction from the verbatim LEfSe results sentence naming taxa 'lower in the PE group than those in the normal group' vs 'higher in the PE group than those in the normal healthy group'. 24 differentially abundant taxa at log LDA score >3.5; individual LDA scores appear only in the figure, not in the text, so no numeric value is recorded here. No FDR/q-value correction reported. Only genus-level taxa retained from the 24; phylum/class/order/family findings excluded. Controls were healthy normotensive pregnant women, matched on age and pre-pregnancy BMI. Sampling spanned 20-41 weeks of gestation. CAVEAT: genus Bacteroides is reported depleted here, which conflicts with the species-level Bacteroides findings in PMID 31850241.",depleted,PubMed
PMID36683689,The effect of gut microbiota dysbiosis on patients with preeclampsia,"Retrospective human case-control study of 41 pre-eclampsia patients versus 45 age- and pre-pregnancy BMI-matched healthy pregnant controls, faecal samples profiled by 16S rRNA gene sequencing (V3-V4 region) with LEfSe.",16S rRNA,qualified,Oscillospira,genus,,Pre-Eclampsia,D011225,Health,D006262,Pre-Eclampsia,D011225,,,LEfSe,,,,https://doi.org/10.3389/fcimb.2022.1022857,"Zhao et al. 2023, Frontiers in Cellular and Infection Microbiology, PMID 36683689","Direction from the verbatim LEfSe results sentence naming taxa 'lower in the PE group than those in the normal group' vs 'higher in the PE group than those in the normal healthy group'. 24 differentially abundant taxa at log LDA score >3.5; individual LDA scores appear only in the figure, not in the text, so no numeric value is recorded here. No FDR/q-value correction reported. Only genus-level taxa retained from the 24; phylum/class/order/family findings excluded. Controls were healthy normotensive pregnant women, matched on age and pre-pregnancy BMI. Sampling spanned 20-41 weeks of gestation. CAVEAT: genus Bacteroides is reported depleted here, which conflicts with the species-level Bacteroides findings in PMID 31850241.",depleted,PubMed
PMID36683689,The effect of gut microbiota dysbiosis on patients with preeclampsia,"Retrospective human case-control study of 41 pre-eclampsia patients versus 45 age- and pre-pregnancy BMI-matched healthy pregnant controls, faecal samples profiled by 16S rRNA gene sequencing (V3-V4 region) with LEfSe.",16S rRNA,qualified,Shigella,genus,,Pre-Eclampsia,D011225,Health,D006262,Pre-Eclampsia,D011225,,,LEfSe,,,,https://doi.org/10.3389/fcimb.2022.1022857,"Zhao et al. 2023, Frontiers in Cellular and Infection Microbiology, PMID 36683689","Direction from the verbatim LEfSe results sentence naming taxa 'lower in the PE group than those in the normal group' vs 'higher in the PE group than those in the normal healthy group'. 24 differentially abundant taxa at log LDA score >3.5; individual LDA scores appear only in the figure, not in the text, so no numeric value is recorded here. No FDR/q-value correction reported. Only genus-level taxa retained from the 24; phylum/class/order/family findings excluded. Controls were healthy normotensive pregnant women, matched on age and pre-pregnancy BMI. Sampling spanned 20-41 weeks of gestation. CAVEAT: genus Bacteroides is reported depleted here, which conflicts with the species-level Bacteroides findings in PMID 31850241.",enriched,PubMed
